scope,d_sig,d_sil,d_total,rho_sig,rho_sil,sil_sig_ratio,ticker,sil_gt_sig
EPAM,2,93,95,0.021052631578947368,0.9789473684210527,46.5,EPAM,True
CHD,19,76,95,0.2,0.8,4.0,CHD,True
TJX,2,91,93,0.021505376344086023,0.978494623655914,45.5,TJX,True
COF,1,91,92,0.010869565217391304,0.9891304347826086,91.0,COF,True
HCA,1,87,88,0.011363636363636364,0.9886363636363636,87.0,HCA,True
POOL,4,83,87,0.04597701149425287,0.9540229885057471,20.75,POOL,True
ZBRA,1,82,83,0.012048192771084338,0.9879518072289156,82.0,ZBRA,True
DIS,2,79,81,0.024691358024691357,0.9753086419753086,39.5,DIS,True
TER,1,80,81,0.012345679012345678,0.9876543209876543,80.0,TER,True
ROK,1,77,78,0.01282051282051282,0.9871794871794872,77.0,ROK,True
VLO,2,75,77,0.025974025974025976,0.974025974025974,37.5,VLO,True
K,1,71,72,0.013888888888888888,0.9861111111111112,71.0,K,True
VMC,3,69,72,0.041666666666666664,0.9583333333333334,23.0,VMC,True
NVR,1,70,71,0.014084507042253521,0.9859154929577465,70.0,NVR,True
NI,1,69,70,0.014285714285714285,0.9857142857142858,69.0,NI,True
GDDY,1,69,70,0.014285714285714285,0.9857142857142858,69.0,GDDY,True
DXCM,2,67,69,0.028985507246376812,0.9710144927536232,33.5,DXCM,True
DLR,0,67,67,0.0,1.0,inf,DLR,True
RTX,3,64,67,0.04477611940298507,0.9552238805970149,21.333333333333332,RTX,True
HUBB,4,62,66,0.06060606060606061,0.9393939393939394,15.5,HUBB,True
PCG,1,64,65,0.015384615384615385,0.9846153846153847,64.0,PCG,True
GL,1,64,65,0.015384615384615385,0.9846153846153847,64.0,GL,True
BSX,1,62,63,0.015873015873015872,0.9841269841269841,62.0,BSX,True
PSA,4,56,60,0.06666666666666667,0.9333333333333333,14.0,PSA,True
KEYS,1,59,60,0.016666666666666666,0.9833333333333333,59.0,KEYS,True
XYL,1,57,58,0.017241379310344827,0.9827586206896551,57.0,XYL,True
LLY,2,55,57,0.03508771929824561,0.9649122807017544,27.5,LLY,True
AIG,1,56,57,0.017543859649122806,0.9824561403508771,56.0,AIG,True
TRV,1,56,57,0.017543859649122806,0.9824561403508771,56.0,TRV,True
CAG,3,52,55,0.05454545454545454,0.9454545454545454,17.333333333333332,CAG,True
